,playerID_x,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,playerID_y,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
0,abercda01,1871,1,TRO,,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,cobbty01,1936,BBWAA,226.0,170.0,222.0,Y,Player,
1,addybo01,1871,1,RC1,,25,118.0,30.0,32.0,6.0,0.0,0.0,13.0,8.0,1.0,4.0,0.0,,,,,,ruthba01,1936,BBWAA,226.0,170.0,215.0,Y,Player,
2,allisar01,1871,1,CL1,,29,137.0,28.0,40.0,4.0,5.0,0.0,19.0,3.0,1.0,2.0,5.0,,,,,,wagneho01,1936,BBWAA,226.0,170.0,215.0,Y,Player,
3,allisdo01,1871,1,WS3,,27,133.0,28.0,44.0,10.0,2.0,2.0,27.0,1.0,1.0,0.0,2.0,,,,,,mathech01,1936,BBWAA,226.0,170.0,205.0,Y,Player,
4,ansonca01,1871,1,RC1,,25,120.0,29.0,39.0,11.0,3.0,0.0,16.0,6.0,2.0,2.0,1.0,,,,,,johnswa01,1936,BBWAA,226.0,170.0,189.0,Y,Player,
5,armstbo01,1871,1,FW1,,12,49.0,9.0,11.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,,,,,,lajoina01,1936,BBWAA,226.0,170.0,146.0,N,Player,
6,barkeal01,1871,1,RC1,,1,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,speaktr01,1936,BBWAA,226.0,170.0,133.0,N,Player,
7,barnero01,1871,1,BS1,,31,157.0,66.0,63.0,10.0,9.0,0.0,34.0,11.0,6.0,13.0,1.0,,,,,,youngcy01,1936,BBWAA,226.0,170.0,111.0,N,Player,
8,barrebi01,1871,1,FW1,,1,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,hornsro01,1936,BBWAA,226.0,170.0,105.0,N,Player,
9,barrofr01,1871,1,BS1,,18,86.0,13.0,13.0,2.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,,,,,,cochrmi01,1936,BBWAA,226.0,170.0,80.0,N,Player,
